Año;Hora_24;Mes;Dia;Mes resumido;dia resumido;Fecha Dia;Semana2;Delito;Total General Año Anterior;Estación Final;CAI Final;Cuadrante Final;Genero Final;Zona Final;Clase Sitio Final;Arma Final;Modalidad Final;Causa Lesion Final;Barrio Hecho Final;Grupo Edad Ley Final
2026;16;Enero;Lunes;Ene;Lun;12;3;H. Automotores;0;E-Norte;CAI 4;Z. Atención 16 Norte;No Reportado;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Centro;Adolescencia (12 a 17 años) 
2026;19;Abril;Lunes;Abr;Lun;27;18;H. Automotores;0;E-Timbio;No Reportado;E-Timbio;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Las Cruces;Adolescencia (12 a 17 años) 
2026;20;Enero;Lunes;Ene;Lun;26;5;H. Automotores;0;E-Norte;CAI 2;Z. Atención 7 Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;La Paz;Adolescencia (12 a 17 años) 
2026;20;Enero;Lunes;Ene;Lun;26;5;H. Automotores;0;E-Sur;No Reportado;E-Sur;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Cajete;Adolescencia (12 a 17 años) 
2026;22;Marzo;Lunes;Mar;Lun;16;12;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Urbano;Vias Publicas;Sin Empleo de Armas;Halado;No Reportado;Vda La Rejoya;Adolescencia (12 a 17 años) 
2026;18;Febrero;Martes;Feb;Mar;10;7;H. Automotores;0;E-Norte;No Reportado;E-Norte;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Rio Blanco Norte;Adolescencia (12 a 17 años) 
2026;19;Mayo;Martes;May;Mar;5;19;H. Automotores;0;E-Timbio;No Reportado;E-Timbio;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Las Cruces;Adolescencia (12 a 17 años) 
2026;19;Junio;Martes;Jun;Mar;9;24;H. Automotores;0;E-Coconuco;S-Purace;Z. Atención 1 S-Purace;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Vda Alto Calaguala;Adolescencia (12 a 17 años) 
2026;19;Marzo;Martes;Mar;Mar;10;11;H. Automotores;0;E-Norte;CAI 2;Z. Atención 7 Norte;Masculino;Urbano;Vias Publicas;Llave Maestra;Halado;No Reportado;Ciudadela De San Eduardo;Adolescencia (12 a 17 años) 
2026;20;Abril;Martes;Abr;Mar;21;17;H. Automotores;0;E-Sur;CAI 6;Z. Atención 8 Sur;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;La Ladera;Adolescencia (12 a 17 años) 
2026;20;Junio;Martes;Jun;Mar;2;23;H. Automotores;0;E-Coconuco;No Reportado;E-Coconuco;Masculino;Urbano;Vias Publicas;Arma de Fuego;Atraco;No Reportado;Cmiento Paletara;Infancia (0 a 11 años)
